address,assetType,auctionStatus,bidIncrement,biddingEnds,biddingStarts,broker1,broker2,broker3,buildingSize,currentBid,dateAdded,minimumBid,propertyName,propertyType,property_url,registeredBidders,reserveMet,size,source,startingBid,units,yearBuilt
"110 Pearl St, Oscoda, Iosco County, MI 48750",Real Estate,BidderRegistration,10000.0,2025-10-08T16:00:00Z,2025-10-06T16:00:00Z,Gordon Hyde,Alexsis Wolfson,N/A,N/A,0,2025-08-14T07:00:00Z,1.0,Former School,Commercial,https://www.crexi.com/properties/2138610/michigan-former-school,0,False,N/A,Crexi,1.0,N/A,N/A
"3441-3451 W 159th St, Markham, Cook County, IL 60428",Real Estate,BidderRegistration,25000.0,2025-10-08T16:00:00Z,2025-10-06T16:00:00Z,Monique Jimmar,Bianca Diorio,N/A,N/A,0,2025-08-25T07:00:00Z,50000.0,Former Markham Animal Clinic,Commercial,https://www.crexi.com/properties/2139723/illinois-former-markham-animal-clinic,0,False,N/A,Crexi,50000.0,N/A,N/A
"1399 Bench Rd, Pocatello, Bannock County, ID 83201",Real Estate,BidderRegistration,500000.0,2025-10-08T16:00:00Z,2025-10-06T16:00:00Z,Mike Kelly,Gordon Allred,Adam Lewis,N/A,0,2025-08-08T07:00:00Z,2500000.0,Grand Idaho Inn & Suites and Peak Extended Stay,Commercial,https://www.crexi.com/properties/2096256/idaho-grand-idaho-inn-suites-and-peak-extended-stay,0,False,N/A,Crexi,2500000.0,N/A,N/A
"660 N University Blvd, Middletown, Butler County, OH 45042",Real Estate,BidderRegistration,25000.0,2025-10-08T16:00:00Z,2025-10-06T16:00:00Z,Michael Bergman,Gueorgui Chikov,Kristina Skurow,N/A,0,2025-08-26T07:00:00Z,50000.0,Middletown Office Building,Commercial,https://www.crexi.com/properties/2137453/ohio-middletown-office-building,0,False,N/A,Crexi,50000.0,N/A,N/A
"2618 Wooddale Blvd, Baton Rouge, East Baton Rouge Parish, LA 70805",Real Estate,BidderRegistration,50000.0,2025-10-08T16:00:00Z,2025-10-06T16:00:00Z,"Beau Box, SIOR",Austin Palmer,Audrey Hanna,N/A,0,2025-08-13T16:00:00Z,275000.0,Windsor Courts Office Plaza,Commercial,https://www.crexi.com/properties/2037265/louisiana-windsor-courts-office-plaza,0,False,N/A,Crexi,275000.0,N/A,N/A
"2222 W Elmore St, Seattle, King County, WA 98199",Real Estate,BidderRegistration,500000.0,2025-10-08T16:00:00Z,2025-10-06T16:00:00Z,Tyler Nicholes,Audrey Hanna,N/A,N/A,0,2025-08-27T07:00:00Z,500000.0,SHORT SALE | TSCAN Building,Commercial,https://www.crexi.com/properties/1938839/washington-tscan-building,0,False,N/A,Crexi,500000.0,N/A,N/A
"905 W La Pointe Ave, Mission, Hidalgo County, TX 78573",Real Estate,BidderRegistration,50000.0,2025-10-08T16:00:00Z,2025-10-06T16:00:00Z,Rebeca Bermudez,Alexsis Wolfson,N/A,N/A,0,2025-08-15T07:00:00Z,100000.0,Four Unit Multifamily Building,Commercial,https://www.crexi.com/properties/2014376/texas-four-unit-multifamily-building,0,False,N/A,Crexi,100000.0,N/A,N/A
"1947 Greenbriar Colony Dr, Houston, Harris County, TX 77032",Real Estate,BidderRegistration,250000.0,2025-10-08T16:00:00Z,2025-10-06T16:00:00Z,Otto Muniz,Hannah Ladenheim,N/A,N/A,0,2025-08-26T07:00:00Z,1000000.0,"48 Unit Apartment | Houston, TX",Commercial,https://www.crexi.com/properties/2071407/texas-48-unit-apartment-houston-tx,0,False,N/A,Crexi,1000000.0,N/A,N/A
"1518 and 1520 Black Hill Dr, Gainesville, Cooke County, TX 76240",Real Estate,BidderRegistration,250000.0,2025-10-08T16:00:00Z,2025-10-06T16:00:00Z,Tom Metcalfe,Alexsis Wolfson,N/A,N/A,0,2025-08-27T07:00:00Z,500000.0,The Manor at Black Hill Farm,Commercial,https://www.crexi.com/properties/2141134/texas-the-manor-at-black-hill-farm,0,False,N/A,Crexi,500000.0,N/A,N/A
"S Fannin Ave & S Eisenhower Pkwy, Denison, Grayson County, TX 75020",Real Estate,BidderRegistration,250000.0,2025-10-08T16:00:00Z,2025-10-06T16:00:00Z,Tom Metcalfe,Alexsis Wolfson,N/A,N/A,0,2025-08-27T07:00:00Z,500000.0,Parkway Bend,Commercial,https://www.crexi.com/properties/2141144/texas-parkway-bend,0,False,N/A,Crexi,500000.0,N/A,N/A
